SGB458	Tessaracoccus_sp	2
SGB161	Bacteroides_massiliensis	5
SGB160	Streptococcus_pseudopneumoniae	1
SGB163	Actinomyces_israelii	1
SGB162	Olsenella	1
SGB165	Olsenella	1
SGB167	Olsenella_urininfantis	1
SGB169	Bacteroides_plebeius	7
SGB168	Streptococcus_mitis	1
SGB248	Bacteroides_fragilis	17
SGB249	Veillonella_dispar	2
SGB242	Bifidobacterium_longum	301
SGB243	Tissierellia_bacterium	1
SGB245	Megasphaera_sp	1
SGB246	Gardnerella_vaginalis	1
SGB557	Citrobacter_freundii	1	Citrobacter_amalonaticus	14
SGB567	Parvimonas	6	Parvimonas_micra	6
SGB566	Enterobacter_cloacae	8
SGB424	Olsenella	1
SGB425	Lactobacillus_oris	3
SGB426	Peptococcus_niger	1
SGB427	Enterobacter_cloacae	6
SGB389	Roseomonas_cervicalis	1
SGB421	Streptococcus_oralis	1
SGB422	Bacteroides_coprocola	3
SGB423	Streptococcus_oralis	1
SGB385	Ruminococcus_bromii	1
SGB384	Streptococcus_oralis	1
SGB387	Streptococcus_oralis	1
SGB386	Enterobacter_cloacae	1
SGB428	Bacillus_subtilis	5
SGB429	Fusobacterium_nucleatum	1
SGB383	Ruminococcus_obeum	1
SGB382	UPEC	1
SGB019	Citrobacter_freundii	9	Citrobacter_amalonaticus	1
SGB018	Prevotella_amnii	5
SGB549	Anaerococcus_vaginalis	1	Anaerococcus_obesiensis	1
SGB548	Streptococcus_mitis	1
SGB015	Campylobacter_ureolyticus	7
SGB014	Streptococcus_oralis	1
SGB017	Corynebacterium_aurimucosum	1
SGB016	Alistipes_finegoldii	2	Alistipes_onderdonkii	4
SGB011	Streptococcus_mitis	10	Streptococcus_pseudopneumoniae	8
SGB542	Gemella_asaccharolytica	1
SGB013	Acinetobacter_johnsonii	25
SGB012	Coprococcus_eutactus	2
SGB568	Slackia_exigua	2
SGB491	Streptococcus_gallolyticus	25	Streptococcus_pasteurianus	9
SGB490	Streptococcus_sanguinis	61	Streptococcus_salivarius	1
SGB493	Corynebacterium_jeikeium	9
SGB495	Ruminococcus_bromii	1
SGB497	Actinomyces_urogenitalis	4
SGB499	Aerococcus_urinae	4
SGB330	Jonquetella_anthropi	2
SGB331	Levyella_massiliensis	1
SGB332	Tessaracoccus_sp	1	Tessaracoccus_timonensis	1
SGB334	Faecalibacterium_prausnitzii	3
SGB335	Burkholderia_cenocepacia	1
SGB336	Corynebacterium_lipophiloflavum	1
SGB337	Megasphaera_sp	1
SGB338	Streptococcus_mitis	2
SGB339	Streptococcus_mitis	1
SGB053	Streptococcus_thermophilus	50
SGB078	Anaerococcus_lactolyticus	2
SGB532	Khoudiadiopia_massiliensis	1
SGB052	Aerococcus_urinae	1
SGB021	Clostridium_ventriculi	5
SGB530	Streptococcus_infantis	1
SGB112	CandidatusMycoplasma_girerdii	1
SGB506	Staphylococcus_lugdunensis	23
SGB531	Lachnoanaerobaculum_saburreum	1
SGB057	Lactobacillus_reuteri	125
SGB056	Akkermansia_muciniphila	67
SGB537	Serratia_marcescens	1
SGB026	Streptococcus_infantis	1	Streptococcus_pseudopneumoniae	1
SGB027	Coriobacteriales_bacterium	1
SGB209	Olsenella	1
SGB205	Corynebacterium_genitalium	1
SGB206	Megasphaera_sp	1
SGB207	Staphylococcus_simulans	1
SGB200	Lactobacillus_helveticus	56
SGB201	Roseburia_inulinivorans	13
SGB202	Streptococcus_mitis	1
SGB203	Phascolarctobacterium_succinatutens	3
SGB503	Streptococcus_oralis	1
SGB502	Lactobacillus_sakei	1
SGB501	Citrobacter_freundii	1
SGB500	Bacteroides_thetaiotaomicron	1
SGB055	Prevotella_bergensis	1
SGB054	Lactobacillus_delbrueckii	56
SGB505	Corynebacterium_pyruviciproducens	2
SGB504	Lachnovaginosum_genomospecies	2
SGB059	Bacillus_subtilis	12
SGB058	Streptococcus_oralis	8
SGB508	Neisseria_flavescens	3
SGB118	Bacteroides_clarus	8	Bacteroides_stercoris	1
SGB119	Gordonibacter	1
SGB291	Streptococcus_pseudopneumoniae	1
SGB290	Veillonella_parvula	11
SGB296	Enterobacter_cloacae	11
SGB110	Peptoniphilus_harei	2
SGB111	Streptococcus_oralis	3
SGB299	Alistipes_shahii	4	Barnesiella_intestinihominis	1
SGB298	Streptococcus_mitis	1	Streptococcus_oralis	1
SGB115	Megasphaera_sp	2
SGB116	Lautropia_mirabilis	2
SGB117	Olsenella	3
SGB113	Olsenella	1
SGB598	Streptococcus_pyogenes	1825
SGB599	Bacteroides_fragilis	125
SGB594	Eubacterium_rectale	1
SGB595	Streptococcus_acidominimus	1	Streptococcus_agalactiae	1
SGB596	Listeria_monocytogenes	4	Listeria_innocua	11
SGB597	Serratia_ureilytica	4	Serratia_marcescens	505
SGB590	Serratia_marcescens	5
SGB591	Faecalibacterium_prausnitzii	16
SGB593	Pseudomonas_aeruginosa	21
SGB374	Lactobacillus_vaginalis	3
SGB376	Streptococcus_mitis	2
SGB370	Faecalibacterium_prausnitzii	1
SGB371	Oligella_urethralis	11
SGB373	Lactobacillus_pentosus	21
SGB576	Veillonella_seminalis	2
SGB577	Staphylococcus_pasteuri	3
SGB574	Collinsella_aerofaciens	9
SGB575	Actinotignum_schaalii	2
SGB572	Collinsella_aerofaciens	10
SGB573	Anaerococcus_prevotii	1	Tissierellia_bacterium	1
SGB479	Phascolarctobacterium_succinatutens	1
SGB571	Ureaplasma_parvum	11
SGB477	Streptococcus_mitis	1
SGB476	Veillonella_dispar	2
SGB475	Ruminococcus_bromii	1
