koNew	koOld	perc_ko	vfNew	vfOld	perc_vf
SGB486	644	645	49.9612102404965	20	258	7.19424460431655
SGB194-MERGED-SGB472	17	1778	0.947075208913649	130	182	41.6666666666667
SGB305	326	1522	17.6406926406926	6	450	1.31578947368421
SGB309	164	1205	11.9795471146822	60	358	14.3540669856459
SGB522	425	1288	24.810274372446	47	275	14.5962732919255
SGB592-MERGED-SGB93	318	910	25.8957654723127	115	292	28.2555282555283
SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604	107	2589	3.96884272997033	53	202	20.7843137254902
SGB235	92	1235	6.93293142426526	25	470	5.05050505050505
SGB627	110	691	13.7328339575531	42	354	10.6060606060606
SGB280	211	1308	13.8907175773535	25	146	14.6198830409357
SGB128	50	2443	2.00561572402728	55	296	15.6695156695157
SGB283	57	1346	4.06272273699216	18	947	1.86528497409326
SGB289	90	999	8.26446280991736	16	372	4.12371134020619
SGB460	51	1852	2.67997898055702	19	289	6.16883116883117
SGB463	202	1083	15.7198443579767	15	419	3.45622119815668
SGB466	56	1180	4.53074433656958	84	246	25.4545454545455
SGB347	398	1512	20.8376963350785	19	287	6.20915032679739
SGB190	172	802	17.6591375770021	90	375	19.3548387096774
SGB196	164	379	30.2025782688766	36	196	15.5172413793103
SGB16	2	3478	0.0574712643678161	40	134	22.9885057471264
SGB17	93	2846	3.16434161279347	26	1469	1.73913043478261
SGB14	76	1073	6.61444734551784	24	242	9.02255639097744
SGB15	190	3278	5.47866205305652	51	1360	3.6144578313253
SGB99	211	889	19.1818181818182	55	183	23.109243697479
